frequency,fan_speed,context-switch,cpu-migration,page_fault,cycles,pc1,pc2,instructions,branches,branch-misses,cacher,io,lid,cache-misses,Second,core_2,core_3,core_4,core_1
3060000,2732,4,0,0,3254199558,1848632130,723677375,3235061844,548736746,16442819,22240478,4540,1371887061,2899856,6,62,61,59,69
3060000,2732,2,0,0,3264477720,1809416329,658802294,3386914141,600747424,17858735,17436571,4999,1514504156,1467090,7,62,61,59,69
3060000,2743,4,0,0,3266003312,1878220363,792723683,3185658734,568852855,17857080,13843534,4532,1372979223,2528534,8,62,63,59,70
3060000,2743,2,0,0,3257364309,1907716235,900139755,3034587365,506116314,20072927,13548120,4846,1247928882,3283990,9,62,63,59,70
3060000,2743,4,0,0,3228354198,1976705563,1014245780,2884858339,479560713,18651344,13679882,4459,1258553647,3659222,10,64,62,60,71
2926000,2743,2,0,0,2930057681,1658651780,752329449,2779816478,475484134,18001035,12924616,1,1149027831,2405734,1,61,60,59,66
2926000,2743,4,0,0,2927626120,1662431604,749995744,2828364176,482178701,17409169,12782785,0,1164700226,2745087,2,61,60,59,66
2926000,2743,2,0,509,2927174086,1686535708,748237839,2776479949,480228994,16812326,12030101,1,1194120916,2523602,3,60,61,58,66
2926000,2743,2,0,772,2927959237,1678050564,767508513,2708202865,460724981,17125035,14144733,0,1182491821,2345210,4,60,61,58,66
2926000,2743,2,0,383,2927146860,1665658397,744206885,2800490653,465664720,15892457,12058975,1,1171718883,2740519,5,60,60,58,66
2926000,2743,4,0,184,2927584520,1702323557,737914964,2711661063,456950662,16313574,13958820,0,1108207807,3104963,6,60,60,58,66
2926000,2743,2,0,796,2927385668,1693198343,765366197,2748058608,456534023,15788702,13726090,0,1164628691,2924491,7,59,59,58,65
2926000,2743,2,0,838,2927835690,1697165497,785253143,2726532064,455401461,17046700,13230559,1,1133041832,3117720,8,59,59,58,65
2926000,2743,2,0,626,2927198317,1700793470,737301474,2777096358,495987066,17093726,12687793,0,1199724052,2805231,9,59,59,58,65
2926000,2732,4,0,12,2927763542,1608369881,640644185,2931805280,522312424,17926233,12869498,1,1317190120,1565216,10,59,59,58,65
2660000,2732,2,0,1262,2663550806,1553856348,710875497,2411082257,394225855,14688324,14971114,1,1038122707,2992329,1,59,59,57,64
2660000,2743,2,0,22,2661095817,1593172498,723951759,2371779841,404214448,14606006,13707705,1,985240354,3021589,2,59,59,57,64
2660000,2743,2,0,1600,2660352680,1409215951,482730579,2928697927,518816980,14281621,11251264,0,1262722341,1209477,3,59,58,57,64
2660000,2732,4,0,1222,2661114989,1570287363,778745472,2397744713,398324228,14182440,12651524,0,1027660678,2870498,4,59,58,57,64
2660000,2732,2,0,1668,2660265195,1602207846,732737700,2584558363,410991775,11342620,8518221,0,1113935167,4199779,5,59,58,57,64
2660000,2743,2,0,3453,2659957154,1542142768,579449746,2643021195,466959355,10871859,16288028,1,1257813153,3449415,6,59,58,57,63
2660000,2743,2,0,2866,2659569107,1514144103,663670015,2606480954,432598339,13238535,20313049,0,1183298770,3531911,7,60,60,59,63
2660000,2732,4,0,1861,2660660478,1673439509,715719668,2352710943,415637415,9737632,7943420,0,994612067,4202259,8,60,60,59,63
2660000,2732,2,0,290,2659936727,1512777989,621056237,2671410476,463971405,13724247,13950270,1,1190730182,2802818,9,59,59,57,63
2660000,2743,2,0,0,2660730864,1539886479,653986215,2479975768,420003185,14463125,11383278,0,1078972083,3143704,10,59,59,57,63
1596000,2743,2,0,6,1589011793,926118981,441255668,1453088905,236175863,9011278,7494657,9,636973960,2143354,1,58,58,56,63
1596000,2732,4,0,0,1593953464,883391388,303504264,1714587749,289155618,7796871,6331961,1,766398815,1927019,2,57,58,56,58
1596000,2732,2,0,0,1593662658,856560523,296357743,1665844487,289960106,9188761,10628957,0,741363170,1388676,3,57,56,56,58
1596000,2732,0,0,0,1594174899,891604249,368300316,1582355568,255987466,8077539,5516927,2,650761926,2691978,4,57,56,56,58
1596000,2732,2,0,0,1593704030,892256118,362436247,1581616492,263586653,9081088,8123172,17,697053758,2197397,5,57,59,56,58
1596000,2743,4,0,0,1593943871,886169228,309169947,1711257218,304621952,7677022,11521786,1,777068026,1896972,6,56,59,56,58
1596000,2743,2,0,0,1594242845,949326049,430849017,1376132708,211578855,9559081,7494178,0,544049131,3273117,7,56,55,55,58
1596000,2732,2,0,0,1593499366,815756513,258909954,1800896611,316391018,8865574,7519733,52,784609175,1233311,8,57,55,55,58
1596000,2732,2,0,0,1594065819,907762137,384970505,1532738273,249079366,9202310,6941568,0,629833403,2493898,9,56,55,55,58
1596000,2743,4,0,0,1593953808,871232088,362579307,1566003109,262634172,9743649,8423466,1,693204096,1702773,10,56,55,54,58
2394000,2743,2,0,2670,2395152845,1561277542,862501790,1808708821,265008905,10820218,10817998,0,748347000,5700191,1,56,56,54,60
2394000,2743,2,0,5393,2394544187,1349125730,371908526,3147245529,530817774,3893126,3739061,1,1495732895,2975844,2,56,56,56,60
2394000,2743,2,0,641,2394543271,1244853029,180340656,3644333357,677143365,935265,1186535,0,1836316528,401417,3,57,57,56,61
2394000,2743,4,0,1106,2393828411,1418138075,602170083,2181949589,360894514,10194703,17730666,0,1018150397,4079088,4,57,57,55,61
2394000,2743,2,0,2170,2393366531,1511230126,661240116,2012627483,372110296,8647078,32566848,0,927947641,5350772,5,58,57,56,61
2394000,2743,4,0,2462,2393861786,1491798612,730087772,2257761953,329278424,8006684,36579508,1,988793932,6978821,6,58,57,56,61
2394000,2743,2,0,1,2393526357,1412670356,623944602,2261612715,333242641,6784062,35832846,0,1077829646,3439192,7,57,57,55,60
2394000,2743,4,0,322,2394430794,1575937133,832817169,1830773650,281092637,11497185,21745428,0,803750025,5078784,8,57,57,55,60
2394000,2743,2,0,3162,2393682662,1399514995,640290296,2175337471,376619738,12953899,18060883,0,1001419540,5341752,9,57,57,56,59
2394000,2743,4,0,0,2394314003,1543053077,322704504,2378647161,506710352,2479330,5562874,1,1072478054,749995,10,57,57,56,59
1596000,2743,2,0,139,1595077035,940894745,325245645,1666646202,309343510,5068217,13225049,1,790368086,2178745,1,56,56,55,58
1596000,2454,4,0,67,1594216958,914367348,416878336,1491272761,249754608,8217228,6116773,0,597833795,4090217,2,56,56,55,58
1596000,2454,5,0,2082,1594043767,917335472,395450589,1490561664,261191685,9298114,7434651,0,657419827,2614376,3,56,55,55,58
1596000,2436,2,0,1308,1593784508,791164165,258065425,1770649395,323333752,10946545,5632538,1,784718039,373177,4,56,55,55,58
1596000,2436,2,0,488,1593927133,808415367,267114146,1735102825,309212627,10532090,7315962,0,752341664,287184,5,55,55,54,58
1596000,2445,4,0,1678,1594080699,812973805,258099652,1756130220,311120674,10095121,6195244,0,777965525,635487,6,55,55,54,58
1596000,2445,2,0,647,1594200460,790478187,268305222,1737588377,300837941,10470577,7262071,0,764210862,524812,7,56,55,54,57
